id;speaker_id;audio_save;transcript_save;expression
1;0;audio_saves\1.wav;transcript_saves\1.txt;YEAH
2;0;audio_saves\2.wav;transcript_saves\2.txt;SNOWDROPS I LIKE TO THINK THAT LONG AGO THERE FEEL TO EARTH SOME FLAKES OF SNOW
3;1;audio_saves\3.wav;transcript_saves\3.txt;WHICH LOVED THIS COLD GRAY WORLD OF OURS SO MUCH THEY STAYED AS SNOWDROPS FLOWER
4;1;audio_saves\4.wav;transcript_saves\4.txt;YEAH
5;1;audio_saves\5.wav;transcript_saves\5.txt;THE EMPERORS NEW CLOTHES
6;1;audio_saves\6.wav;transcript_saves\6.txt;THERE WAS A EMPEROR AND SHE'S <unk> HE'S LIKE NEW CLOTHES 
7;1;audio_saves\7.wav;transcript_saves\7.txt;AND ONE DAY THERE
8;0;audio_saves\8.wav;transcript_saves\8.txt;WAS 
9;1;audio_saves\9.wav;transcript_saves\9.txt;THAT'S MY FAVORITE PICTURE
10;1;audio_saves\10.wav;transcript_saves\10.txt;CAN YOU HELP ME PLEASE
11;0;audio_saves\11.wav;transcript_saves\11.txt;EH
12;1;audio_saves\12.wav;transcript_saves\12.txt;CAN YOU SAY THAT 
13;0;audio_saves\13.wav;transcript_saves\13.txt;EH THE SWINDLER THE SWINDLERS EH EH
14;0;audio_saves\14.wav;transcript_saves\14.txt;EH THIS IS MY FAVORITE THIS ARE MY FAVORITE PAGE <unk> PICTURE 
15;0;audio_saves\15.wav;transcript_saves\15.txt;EH EH VERY NICE NEW CLOTHES FOR THE EMPEROR
16;0;audio_saves\16.wav;transcript_saves\16.txt;EH ALL
17;1;audio_saves\17.wav;transcript_saves\17.txt;I LIKE THIS
18;0;audio_saves\18.wav;transcript_saves\18.txt;IT'S RED AND RED IS MY FAVORITE COLOR
19;0;audio_saves\19.wav;transcript_saves\19.txt;YEAH
20;0;audio_saves\20.wav;transcript_saves\20.txt;YEAH
21;1;audio_saves\21.wav;transcript_saves\21.txt;I SEE A GI 
22;1;audio_saves\22.wav;transcript_saves\22.txt;SHE STARTED OR
23;0;audio_saves\23.wav;transcript_saves\23.txt;EH IN THE OCEAN'S IN THE OCEAN ARE PLANTS AND FISHES 
24;0;audio_saves\24.wav;transcript_saves\24.txt;IT'S A VERY NICE DAY
25;0;audio_saves\25.wav;transcript_saves\25.txt;YEAH
26;1;audio_saves\26.wav;transcript_saves\26.txt;I SEE A CHILD
27;1;audio_saves\27.wav;transcript_saves\27.txt;SHE'S LOOK OUT THE WINDOW
28;1;audio_saves\28.wav;transcript_saves\28.txt;IT'S RAINING
29;1;audio_saves\29.wav;transcript_saves\29.txt;IT'S A RAINY DAY
30;1;audio_saves\30.wav;transcript_saves\30.txt;AND THE PLANTS OUTSIDE LIKE THIS RAIN
31;1;audio_saves\31.wav;transcript_saves\31.txt;YES
32;1;audio_saves\32.wav;transcript_saves\32.txt;HERE IS IT
33;0;audio_saves\33.wav;transcript_saves\33.txt;HERE IS IT THE PICTURE
34;0;audio_saves\34.wav;transcript_saves\34.txt;YEAH
35;1;audio_saves\35.wav;transcript_saves\35.txt;IT'S A BIG SHIP
36;0;audio_saves\36.wav;transcript_saves\36.txt;AND WHITE
37;0;audio_saves\37.wav;transcript_saves\37.txt;A BOY IS SITTING IN THE EH
38;1;audio_saves\38.wav;transcript_saves\38.txt;IN THE BATH 
39;0;audio_saves\39.wav;transcript_saves\39.txt;AND HIS FATHER EH GIVE THE PLANTS WATER
40;1;audio_saves\40.wav;transcript_saves\40.txt;I SEE THAT THE BOY <unk> THE BOY IS WASHING <unk>
41;1;audio_saves\41.wav;transcript_saves\41.txt;OKAY
42;0;audio_saves\42.wav;transcript_saves\42.txt;YEAH
43;1;audio_saves\43.wav;transcript_saves\43.txt;YES
44;1;audio_saves\44.wav;transcript_saves\44.txt;THAT'S THE WORLD
45;1;audio_saves\45.wav;transcript_saves\45.txt;EH THAT'S THE <unk> HERE ARE VERY ISLANDS
46;1;audio_saves\46.wav;transcript_saves\46.txt;THE ISLANDS
47;1;audio_saves\47.wav;transcript_saves\47.txt;ISLANDS
48;1;audio_saves\48.wav;transcript_saves\48.txt;AND I SEE VERY A LOTS OF CONTINENTS
49;0;audio_saves\49.wav;transcript_saves\49.txt;I CAN SEE EH VERY EH EH
50;0;audio_saves\50.wav;transcript_saves\50.txt;YEAH
51;0;audio_saves\51.wav;transcript_saves\51.txt;EH I CAN SEE WHITE EH GREEN
53;0;audio_saves\53.wav;transcript_saves\53.txt;I CAN SEE THAT THE COW DRINKING WATER
55;0;audio_saves\55.wav;transcript_saves\55.txt;AND BLACK EARS EH EYES
56;0;audio_saves\56.wav;transcript_saves\56.txt;EYES
57;0;audio_saves\57.wav;transcript_saves\57.txt;AND
59;1;audio_saves\59.wav;transcript_saves\59.txt;I SEE A GIRL
60;1;audio_saves\60.wav;transcript_saves\60.txt;SHE IS SWIMMING IN THE OCEAN
61;1;audio_saves\61.wav;transcript_saves\61.txt;AND THERE PLANTS AND FISHES IN THE OCEAN
62;0;audio_saves\62.wav;transcript_saves\62.txt;I CAN SEE ON THIS PICTURE A RAINBOW 
63;0;audio_saves\63.wav;transcript_saves\63.txt;HIS COLORS ARE RED YELLOW AND GREEN AND BLUE
64;0;audio_saves\64.wav;transcript_saves\64.txt;ON THIS PICTURE
65;0;audio_saves\65.wav;transcript_saves\65.txt;AND SMALL HOUSES ON THIS PICTURE
66;0;audio_saves\66.wav;transcript_saves\66.txt;AND FIELDS
67;0;audio_saves\67.wav;transcript_saves\67.txt;THE FIELDS ARE YELLOW
69;1;audio_saves\69.wav;transcript_saves\69.txt;THIS
70;1;audio_saves\70.wav;transcript_saves\70.txt;BUT WE SEE THE
71;1;audio_saves\71.wav;transcript_saves\71.txt;WE SEE THE ROOTS 
72;1;audio_saves\72.wav;transcript_saves\72.txt;A LOTS OF ROOTS
73;1;audio_saves\73.wav;transcript_saves\73.txt;THE ALL THE WATER TO THE ROOTS
74;1;audio_saves\74.wav;transcript_saves\74.txt;WE SEE ALL THE WATER THE 
75;1;audio_saves\75.wav;transcript_saves\75.txt;THE RUNS TO THE ROOTS
76;1;audio_saves\76.wav;transcript_saves\76.txt;AND HERE ARE GRASS GREEN GRASS
78;0;audio_saves\78.wav;transcript_saves\78.txt;EH I CAN SEE EH BRIGHT BLUE WATER
79;0;audio_saves\79.wav;transcript_saves\79.txt;AND A YELLOW SUN
80;0;audio_saves\80.wav;transcript_saves\80.txt;EH AND I CAN SEE EH CLOUDS
81;0;audio_saves\81.wav;transcript_saves\81.txt;ONE CLOUD 
82;1;audio_saves\82.wav;transcript_saves\82.txt;AND HERE IS A LAKE
83;1;audio_saves\83.wav;transcript_saves\83.txt;AND HERE IS THE OCEAN
84;1;audio_saves\84.wav;transcript_saves\84.txt;I SEE SOME SNOWFLAKES A SNOWMAN WITH A BIG RED NOSE AND HERE IS A CHILD SKATING <unk> SKATING ON EH
85;0;audio_saves\85.wav;transcript_saves\85.txt;ON THE ICE 
86;1;audio_saves\86.wav;transcript_saves\86.txt;AND IT'S VERY COLD THE SNOWMAN HAS GOT A
87;1;audio_saves\87.wav;transcript_saves\87.txt;AND HERE ARE LOTS OF SNOW
88;1;audio_saves\88.wav;transcript_saves\88.txt;YES
89;0;audio_saves\89.wav;transcript_saves\89.txt;YEAH
90;0;audio_saves\90.wav;transcript_saves\90.txt;YEAH
91;0;audio_saves\91.wav;transcript_saves\91.txt;HM
92;1;audio_saves\92.wav;transcript_saves\92.txt;YES
93;0;audio_saves\93.wav;transcript_saves\93.txt;YEAH
94;0;audio_saves\94.wav;transcript_saves\94.txt;YEAH
95;0;audio_saves\95.wav;transcript_saves\95.txt;YEAH
96;1;audio_saves\96.wav;transcript_saves\96.txt;YES
97;0;audio_saves\97.wav;transcript_saves\97.txt;YES
98;0;audio_saves\98.wav;transcript_saves\98.txt;YEAH
99;0;audio_saves\99.wav;transcript_saves\99.txt;I
100;0;audio_saves\100.wav;transcript_saves\100.txt;THANK YOU
101;0;audio_saves\101.wav;transcript_saves\101.txt;THANK YOU
103;0;audio_saves\103.wav;transcript_saves\103.txt;EH
104;0;audio_saves\104.wav;transcript_saves\104.txt;THIS IS MY RAT FOURTEEN
105;0;audio_saves\105.wav;transcript_saves\105.txt;AND HE IS SLEEPING IN THE BED
107;1;audio_saves\107.wav;transcript_saves\107.txt;HERE IS A MOUSE IN A BOX
109;0;audio_saves\109.wav;transcript_saves\109.txt;EH MY MOUSE EH EH MY RAT EH ONE IS UNDER THE TABLE
110;1;audio_saves\110.wav;transcript_saves\110.txt;OH
111;1;audio_saves\111.wav;transcript_saves\111.txt;I SEE A RAT MY RAT TWO IS SITTING ON THE TABLE
112;0;audio_saves\112.wav;transcript_saves\112.txt;EH SHE IS EH HIKING ON THE WALL
